Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana B.,6,5,4,2,1,1,0,1,1,1,2,2
Maribor,5,3,2,2,2,1,1,1,1,2,3,2
Celje,8,5,5,4,3,2,2,3,4,6,7,6
Trbovlje,5,7,4,1,0,0,0,0,1,2,7,2
Hrastnik,10,6,6,6,4,1,4,3,5,7,5,4
Zagorje,7,7,6,4,5,1,1,3,1,3,3,3
Murska S.-Rakičan,11,8,6,5,7,8,5,4,4,4,6,8
Nova Gorica,11,10,9,7,7,9,9,8,8,9,0,6
OMS Lj. (Vnajnarje),4,6,4,2,2,2,2,2,3,3,6,0
Šoštanj,5,5,6,11,6,4,9,5,9,6,3,2
Topolšica,3,4,2,2,2,2,2,2,2,3,1,2
Veliki Vrh,15,12,11,7,4,6,6,7,9,6,6,5
Zavodnje,6,9,3,2,2,1,1,2,2,4,2,2
Velenje,4,4,4,5,4,6,6,9,9,1,1,1
Graška Gora,6,7,5,6,6,3,3,3,3,4,3,3
Pesje,8,7,7,7,9,9,11,3,3,3,2,3
Škale,3,4,5,4,5,1,1,1,0,2,8,11
Kovk,9,14,14,15,7,13,11,11,13,19,8,9
Dobovec,14,14,15,4,0,6,9,9,8,9,7,6
Kum,10,17,23,12,4,7,7,7,9,9,7,9
Ravenska vas,22,15,5,4,0,2,13,11,12,8,9,8
