Postaja,Jan,Feb,Mar,Apr,Maj,Jun,Jul,Avg,Sep,Okt,Nov,Dec
Ljubljana Bež.,60,50,48,28,25,26,26,20,26,44,36,48
Maribor,57,60,61,34,31,26,34,27,32,57,51,39
Celje,52,67,59,39,35,33,31,28,35,45,42,44
Trbovlje,72,76,74,54,50,47,43,35,41,59,46,58
Zagorje,70,71,77,43,37,40,45,35,42,58,49,62
Nova Gorica,40,37,43,32,29,28,34,26,33,38,32,34
Murska S.-Rakičan,50,63,52,28,23,26,25,22,28,43,43,41
EIS-Celje,47,57,51,28,24,22,27,21,28,54,52,57
MO Maribor,50,60,58,35,33,32,33,29,38,58,53,39
Pesje,26,38,40,23,21,21,22,18,26,31,28,21
Škale,22,31,32,21,18,19,20,13,20,30,19,17
Prapretno,21,30,32,29,28,30,29,22,25,36,29,27
